A,B,C,D,E,F
33,65.24,20,211.4,74.0172,21.2241
18,35.03,30,321.54,-14.8329,-45.6507
30,59.39,21,222.34,-57.7249,-31.9974
12,23.38,33,354.44,-22.5583,-69.4271
21,41.47,34,365.46,77.0356,25.0304
17,33.38,10,101.2,-10.0708,-9.72521
30,59.15,35,376.34,2.5,4.33013
28,55.26,22,233.21,-19.8054,-2.78346
30,59.4,14,145.31,15.4548,4.1411
26,51.02,33,354.01,51.4458,76.2714
24,47.09,15,156.33,-4.70229,-6.47213
26,51.36,32,343.06,28.3111,73.7528
32,63.13,25,266.24,-60.0733,-10.5925
20,39.23,32,343.21,-51.7561,-68.6826
9,17.15,4,35.02,-51.7771,-37.6182
29,57.39,39,420.13,15.7881,51.6404
31,61.41,31,332.38,-35.5071,-47.1195
9,17.37,10,101.5,35.9226,77.0361
31,61.04,24,254.97,-46.7962,-24.882
27,53.06,23,244.46,-38.3133,-19.5216
22,43.18,2,13.47,-79.9927,-39.015
10,19.03,35,376.55,95.089,23.7083
8,15.02,22,233.41,25.7519,42.8583
12,23.07,32,343.21,-38.6694,-59.5456
2,3.07,37,398.09,2.62424,3.01884
24,47.52,23,244.13,-13.8451,-17.0972
34,67.5,14,145.53,29.1564,22.7795
30,59.05,4,35.34,-59.0454,-67.9238
6,11.18,27,288.52,34.6054,9.92294
34,67.56,27,288.03,-80.2879,-30.8196
19,37.45,9,90.17,10.5254,34.427
26,51.44,22,233.38,-64.665,-43.617
15,29.41,24,255.22,57.4534,48.209
4,7.26,33,354.4,-84.9412,-13.4534
1,1.15,24,255.29,-10.199,-4.12067
35,69.2,39,419.97,3.90732,9.20504
23,44.99,5,46.56,-61.4878,-35.5
12,23.29,22,233.53,-44.4582,-46.0377
32,63,20,211.11,13.435,13.435
20,39.23,25,265.99,9.90268,1.39173
28,55.54,7,68.45,86.0674,26.3134
21,41.25,21,222.18,-24.0887,-26.7532
1,1.05,37,398.26,43.1499,40.2379
1,1.45,7,68.06,-44.7637,-19.9301
8,15,6,57.04,-60.9379,-54.8687
21,41.01,28,299.32,-93.9693,-34.202
7,13.06,6,57.48,-27.5026,-84.644
27,53.29,17,178.29,55.6932,5.85359
16,31.4,32,343.24,-55.1492,-9.72429
17,33.33,4,35.23,24.4283,19.0855
11,21.48,29,309.97,-43.3988,-88.9806
6,11.48,34,365.24,32.2162,79.7378
23,45.41,21,222.17,-55.455,-7.79369
38,75.2,19,200.39,6.53568,10.064
7,13.51,21,222.19,-45.5388,-85.6459
12,23.02,27,288.36,5.53468,16.0738
3,5.28,34,365.38,1.1722,2.76151
24,47.29,19,199.97,47.5108,33.2674
28,55.35,22,233.32,24.4177,70.9139
34,67.27,24,255.34,-65.0287,-19.8813
